pitch_type,count,release_speed,description
SL,1-1,87.6,called_strike
FF,1-0,94.4,foul
CU,0-0,79.9,ball
SL,0-2,88.3,hit_into_play
CU,0-1,80.1,foul
FF,0-0,95,foul
SL,0-2,89,hit_into_play
FF,0-2,98.2,foul
FF,0-1,97.8,foul
SL,0-0,89.3,swinging_strike
FF,2-2,98.5,swinging_strike
FF,2-1,96.3,foul
SL,1-1,89.7,ball
FF,0-1,97.1,ball
FF,0-0,97.2,foul
SL,1-2,87.1,hit_into_play
SL,0-2,87.5,blocked_ball
SL,0-1,87.9,foul
CU,0-0,79.3,called_strike
FF,3-2,95.7,ball
FF,2-2,95.2,ball
FF,1-2,95.5,ball
FF,1-1,95.1,swinging_strike
FF,0-1,94,ball
CU,0-0,78.2,foul
FF,0-0,93.9,hit_into_play
FF,1-1,95,hit_into_play
FF,1-0,93.3,foul
FF,0-0,93.5,ball
FF,2-1,95.2,hit_into_play
CU,1-1,78.6,ball
CU,0-1,78.9,ball
FF,0-0,94.6,foul
FF,1-2,96.5,hit_into_play
FF,1-1,95.4,foul
FF,0-1,95.1,ball
CU,0-0,78.2,called_strike
CU,1-1,79.7,hit_into_play
CU,1-0,78.2,foul
SL,0-0,87.2,ball
FF,0-0,95,hit_into_play
FF,0-1,95.3,hit_into_play
SL,0-0,86.8,called_strike
SL,1-2,88,swinging_strike_blocked
SL,0-2,86.9,ball
FF,0-1,95.9,foul
FF,0-0,94.4,called_strike
