"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"78","Tom Aspinall",77,256,78,"Orthodox",1993,7.43,66,3.06,65,3.54,100,0,1.8
"79","Junior Assuncao",69,145,72,"Orthodox",1981,3.31,62,2.06,44,2.43,24,66,0.7
"80","Raphael Assuncao",65,135,66,"Orthodox",1982,3.26,40,2.33,68,1.48,38,80,0.3
"81","Rich Attonito",70,170,72,"Orthodox",1977,2.28,47,2.13,59,0.74,37,75,0
"82","Olivier Aubin-Mercier",69,155,70,"Southpaw",1989,2.48,51,2.97,55,2.36,33,70,0.5
"83","Marcus Aurelio",70,155,74,"Orthodox",1973,1.42,33,2.27,59,1.69,27,27,1.3
"84","Blas Avena",72,170,74,"Orthodox",1983,2.34,47,3.36,43,2.37,80,50,1.8
"85","Julia Avila",67,135,68,"Orthodox",1988,3.1,41,2.9,54,0.49,50,60,0
"86","Abu Azaitar",69,185,76,"Orthodox",1986,3.2,37,1.27,57,1,100,25,0
"87","Jessin Ayari",72,155,73,"Orthodox",1992,3.53,37,3.59,58,0,0,50,0.3
"88","Ottman Azaitar",68,155,71,"Switch",1990,8.43,57,1.76,67,0,0,100,0
"89","Hunter Azure",68,145,69,"Orthodox",1992,4.17,52,1.99,62,2.52,45,76,1.4
"90","Miguel Baeza",74,170,74,"Orthodox",1992,4.64,55,3.89,50,0.8,40,100,1.2
"91","Ali Bagautinov",64,125,65,"Orthodox",1985,2.85,42,3.09,52,2.51,36,65,0.3
"92","Seth Baczynski",75,170,75,"Orthodox",1981,3.08,31,3.14,51,0.89,16,48,0.8
"93","Ryan Bader",74,205,74,"Orthodox",1983,2.82,43,1.39,71,3.37,44,80,0.4
"94","Melsik Baghdasaryan",69,145,70,"Southpaw",1992,6.8,64,3.8,53,0,0,75,0
